TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[99.6028, 98.2363, 98.3086, 98.9274, 99.3476, 99.7791, 100.4638, 100.8047, 100.0544, 98.3867, 96.0691, 93.536, 91.1091, 88.9228, 87.1494, 86.6454, 88.0032, 89.4757, 89.3809, 88.6744, 88.7646, 89.815, 91.5513, 93.1022, 93.6594]; || ;0.02069570461336038;0.8823529411764706;0.46808510638297873;42.63459291001169;5.633333333333334;5.2727272727272725;23;9;0.043478260869565216;1.8989267893363286;0;0
[93.3747, 92.6041, 91.8635, 91.5532, 91.0866, 89.7669, 88.2049, 87.3951, 87.1315, 86.9938, 85.8011, 82.2336, 79.0739, 81.4178, 86.8757, 91.409, 95.3812, 97.6317, 99.1863, 100.0002, 100.0103, 98.2485, 95.4138, 93.0655, 91.1701]; || ;0.023107919190811656;0.9642857142857143;0.3829787234042553;41.72966446365023;7.925925925925926;7.347222222222222;23;15;0.043478260869565216;2.3454666173340946;42.0;51.57142857142857
[90.8885, 90.8962, 89.5105, 87.566, 86.9222, 87.4194, 89.4632, 92.5607, 95.8036, 98.7058, 99.9632, 100.398, 100.4784, 99.9985, 99.0656, 97.9524, 97.6236, 98.9771, 100.1948, 99.3824, 98.057, 97.8057, 96.746, 92.9348, 89.1913]; || ;0.0189961897974288;0.8333333333333334;0.3384615384615385;43.868446368446364;6.8;5.484848484848484;23;11;0.043478260869565216;2.059306028129147;31.363636363636363;32.81818181818182
[88.5168, 89.4466, 88.3392, 86.9258, 85.5124, 84.0989, 82.6855, 81.2721, 79.8587, 78.4452, 77.3852, 76.3251, 75.265, 74.2049, 73.7338, 73.2627, 72.7915, 76.5168, 74.1778, 69.6129, 65.7682, 64.2246, 64.7141, 66.2105, 67.8361]; || ;0.019599243441791616;1.0;0.425531914893617;51.022377622377626;7.2727272727272725;5.2;23;8;0.043478260869565216;2.035260359474345;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[127.9111, 134.9973, 136.3354, 135.7991, 135.329, 134.7599, 135.0077, 135.3324, 131.1611, 124.6246, 132.4911, 136.0606, 134.1856, 131.0363, 127.1477, 123.0721, 119.7607, 118.3406, 118.4538, 118.3964, 118.238, 119.3208, 121.3959, 122.8671, 123.6188]; || ;0.03242783914914613;0.868421052631579;0.40816326530612246;26.7801085554122;11.363636363636363;10.8375;23;24;0.043478260869565216;2.7987545029834364;15.88888888888889;19.555555555555557
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[160.1781, 164.5052, 163.5182, 159.2697, 155.1939, 152.5467, 150.5849, 148.87, 147.8622, 147.5087, 147.3108, 147.153, 146.044, 142.5002, 137.0571, 132.743, 131.8976, 133.8629, 135.1265, 130.7679, 123.1797, 129.9176, 135.3812, 137.5834, 138.607]; || ;0.032318193031989254;0.9428571428571428;0.5080213903743316;29.174191203198838;11.606060606060606;9.43157894736842;48;24;0.020833333333333332;2.6559928283209713;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[87.2151, 79.4483, 73.7678, 71.1328, 70.8521, 72.0821, 74.8451, 79.2754, 84.2321, 87.4179, 87.1641, 84.0352, 80.3375, 77.9873, 77.544, 78.8578, 80.9324, 82.2482, 81.8864, 80.3028, 78.7166, 78.2366, 79.3224, 81.5342, 83.7939]; || ;0.01609056769277158;1.0;0.23809523809523808;62.148211243611584;5.388888888888889;5.6;7;8;0.14285714285714285;1.6300354880989611;0;0
[84.975, 84.7566, 83.2694, 80.9693, 78.6425, 76.6166, 74.2909, 70.9099, 66.4629, 60.943, 56.649, 60.1004, 63.7845, 65.7963, 66.8951, 66.0565, 62.4829, 57.1594, 52.9429, 51.9592, 53.4141, 54.8821, 55.3719, 55.7382, 56.7325]; || ;0.019270305090320988;0.9523809523809523;0.40106951871657753;49.42220415904627;7.65;5.333333333333333;27;13;0.037037037037037035;2.059306028129147;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[74.4276, 76.4213, 79.7665, 83.2345, 84.4175, 81.8893, 77.054, 72.6677, 69.8894, 68.4366, 68.2411, 69.3797, 71.3979, 73.4192, 73.7733, 70.7498, 63.8811, 56.7189, 55.0627, 52.5258, 49.5146, 47.9636, 47.4047, 46.9945, 46.6739]; || ;0.023985088128066667;0.9310344827586207;0.42857142857142855;38.81722167487684;8.62962962962963;7.111111111111111;27;13;0.037037037037037035;2.4869142102884974;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[102.6152, 104.6976, 105.4711, 103.8078, 100.321, 96.6063, 93.0603, 88.804, 84.0947, 79.8597, 76.4733, 74.1403, 72.9615, 72.5477, 72.4102, 72.1797, 69.6127, 66.4987, 69.5074, 71.8879, 71.4165, 70.1816, 69.3082, 68.6895, 67.5191]; || ;0.031221731860420494;0.9411764705882353;0.46524064171123;30.144915560605277;11.34375;9.74712643678161;35;24;0.02857142857142857;2.8243659399169285;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
