TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[139.0438, 131.5107, 130.2453, 119.8995, 119.2054, 107.1424, 99.6015, 94.8145, 91.2169, 83.3183, 89.1559, 85.4584, 94.1836, 95.8349, 101.1024, 103.8277, 101.6346, 100.9754, 98.9132, 104.686, 102.2494, 100.246, 100.8367, 116.122, 121.1291]; || ;0.023162742249390092;1.0;1.0;43.17278106508876;4.923076923076923;3.1457286432160805;15;10;0.06666666666666667;2.128319901545672;25.785714285714285;28.285714285714285
[132.345, 128.0309, 132.8842, 131.721, 137.853, 140.3219, 138.1173, 131.7445, 135.0196, 137.6286, 155.1479, 153.6766, 152.5171, 157.4821, 162.0588, 162.2947, 152.2287, 143.228, 152.7733, 152.8649, 155.0778, 155.4044, 154.9852, 145.9575, 145.1974]; || ;0.02299827307365478;1.0;1.0;43.481525625744936;5.696969696969697;3.0396039603960396;15;16;0.06666666666666667;2.4489247586294445;48.94117647058823;51.64705882352941
[145.3937, 155.7022, 161.2482, 160.1711, 152.8814, 155.1818, 147.7782, 159.5311, 150.8894, 149.7808, 148.153, 162.7893, 163.5505, 152.5581, 148.1255, 143.4707, 149.2074, 148.2043, 154.0502, 141.2565, 145.6715, 149.4021, 139.4455, 147.3181, 142.9812]; || ;0.013513883939584989;1.0;1.0;73.99797160243408;5.555555555555555;1.5368421052631578;7;5;0.14285714285714285;1.2730283365896256;39.6;40.0
[157.2432, 142.7717, 140.1235, 144.0795, 147.7121, 151.5587, 143.6894, 132.9894, 115.2279, 89.0628, 67.9094, 58.6941, 57.9747, 65.1289, 77.8138, 89.4404, 99.5461, 104.8937, 116.3253, 121.1152, 130.3047, 131.5804, 133.3017, 131.5715, 129.3132]; || ;0.023107919190811656;1.0;1.0;43.27520759193357;6.419354838709677;3.12;27;12;0.037037037037037035;2.238108346055691;61.07142857142857;64.71428571428571
[131.7102, 132.4794, 133.3568, 123.898, 129.6178, 131.4471, 143.9606, 133.319, 126.0972, 117.6182, 112.8327, 110.995, 110.0501, 112.0171, 113.6964, 110.8817, 105.9173, 103.7152, 111.5234, 120.9599, 125.4435, 122.4757, 114.0269, 115.4644, 113.5942]; || ;0.01729667498149722;1.0;1.0;57.81458003169572;5.0;2.2447916666666665;11;7;0.09090909090909091;2.011476352939593;37.55555555555556;41.44444444444444
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[91.5369, 87.292, 86.1362, 87.9714, 84.5465, 85.5535, 88.6272, 92.2201, 85.9997, 88.9362, 89.8907, 92.3706, 92.1205, 88.5233, 88.0421, 86.6006, 86.241, 85.2331, 88.3632, 83.6269, 75.5505, 78.3775, 85.9389, 87.7147, 89.0692]; || ;0.01406211452536937;1.0;1.0;71.1130604288499;4.333333333333333;1.6524064171122994;7;7;0.14285714285714285;1.863679987341;50.61538461538461;50.61538461538461
[89.8937, 97.9938, 91.6744, 90.4986, 88.3659, 85.666, 88.1757, 88.343, 91.8484, 81.7948, 78.1454, 74.6991, 77.059, 76.9343, 88.0434, 87.1834, 87.7892, 80.8379, 84.9897, 85.073, 86.7511, 85.4849, 82.3826, 87.6707, 90.6781]; || ;0.016419506044242207;1.0;1.0;60.90317195325543;4.086956521739131;2.144385026737968;7;8;0.14285714285714285;1.9110590493297033;58.42857142857143;66.0
[96.9295, 93.3454, 96.2802, 102.8401, 106.823, 107.6722, 97.2393, 90.5542, 81.9948, 78.0668, 78.0549, 78.3334, 83.5979, 82.2489, 90.9902, 89.9782, 96.1956, 87.7809, 87.9172, 80.8092, 81.3423, 83.2795, 87.3506, 88.0926, 82.0095]; || ;0.02376579589375291;1.0;1.0;42.07727797001154;5.641025641025641;3.3807106598984773;15;16;0.06666666666666667;2.436592275272759;38.8;44.8
[80.9962, 82.8013, 89.7713, 83.6781, 86.4841, 93.259, 95.6748, 94.3102, 84.4659, 80.0199, 84.445, 87.5592, 90.9098, 93.168, 94.2354, 89.4533, 78.5898, 82.3191, 78.6137, 87.7506, 82.3594, 89.8328, 91.4377, 99.9951, 90.0166]; || ;0.011540253830761219;1.0;1.0;86.65320665083135;5.333333333333333;1.1398963730569949;7;5;0.14285714285714285;1.0986122886681096;136.2;137.0
[92.2773, 89.4417, 96.0803, 93.2489, 86.1901, 88.369, 101.4049, 108.1002, 102.8369, 98.4362, 86.3323, 78.193, 76.257, 77.7953, 84.816, 84.5457, 82.8707, 87.763, 86.381, 84.329, 85.2066, 83.228, 90.7806, 89.6223, 87.3169]; || ;0.014774814286889065;1.0;1.0;67.68274582560296;4.933333333333334;1.8709677419354838;7;8;0.14285714285714285;1.709472776584213;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
