TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[66.802, 70.656, 65.809, 61.229, 64.509, 74.105, 83.287, 87.826, 89.085, 88.534, 87.883, 97.232, 102.469, 104.879, 102.86, 99.561, 95.668, 91.34, 92.027, 97.457, 100.772, 100.285, 99.25, 97.386, 96.293]; || ;0.03248266220772457;0.8717948717948718;0.9257142857142857;26.8387752894082;13.176470588235293;5.932098765432099;98;21;0.01020408163265306;2.802434041481831;51.9;53.35
[94.906, 92.659, 89.85, 85.402, 82.232, 83.678, 85.997, 82.925, 70.948, 54.213, 42.822, 38.339, 37.329, 38.841, 39.371, 38.706, 39.502, 39.874, 39.053, 38.944, 38.769, 40.424, 45.01, 51.507, 58.822]; || ;0.14832378498396426;0.9722222222222222;0.974025974025974;6.554729049877821;23.761904761904763;22.884444444444444;110;67;0.00909090909090909;3.5800159130312292;15.938461538461539;22.615384615384617
[65.479, 72.458, 76.867, 80.137, 84.102, 85.623, 85.623, 85.728, 86.878, 86.916, 85.166, 85.017, 88.089, 90.451, 90.196, 89.879, 90.55, 90.082, 88.634, 88.313, 89.447, 92.255, 91.677, 90.54, 89.185]; || ;0.07513500178174941;0.9428571428571428;0.9558232931726908;12.548840360660863;11.707070707070708;10.3109243697479;163;35;0.006134969325153374;2.838790157724009;38.129411764705885;52.65882352941176
[88.639, 91.122, 91.676, 89.391, 88.659, 90.11, 92.05, 90.736, 89.814, 93.71, 96.586, 94.152, 91.693, 93.222, 94.949, 92.907, 90.265, 91.185, 92.407, 89.695, 86.743, 85.988, 86.055, 85.221, 84.652]; || ;0.014884460404045941;0.8181818181818182;0.7363636363636363;54.96885986941236;8.0;3.54320987654321;26;11;0.038461538461538464;2.3410656135621095;66.69444444444444;67.33333333333333
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[82.168, 87.37, 86.807, 89.695, 95.847, 95.693, 91.748, 88.491, 84.844, 86.186, 90.652, 92.206, 91.645, 92.07, 92.304, 88.554, 85.333, 83.981, 81.921, 80.794, 80.909, 82.676, 84.489, 83.568, 81.769]; || ;0.02212110413639977;0.7567567567567568;0.8391608391608392;34.20971901269299;9.178571428571429;4.4;59;20;0.01694915254237288;2.283459755791868;42.46153846153846;44.323076923076925
[83.373, 86.453, 86.21, 84.342, 84.556, 85.328, 85.328, 88.767, 95.303, 99.58, 98.944, 95.985, 95.531, 95.572, 94.84, 95.664, 96.287, 95.807, 93.083, 89.026, 89.603, 93.229, 92.482, 92.835, 95.09]; || ;0.029741509278802664;0.975609756097561;0.9119496855345912;32.802967292345734;10.025;5.937931034482759;53;15;0.018867924528301886;2.3046618685764066;25.263157894736842;32.89473684210526
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[45.784, 53.317, 63.213, 74.096, 81.853, 84.414, 86.324, 90.663, 90.798, 87.121, 84.076, 82.533, 83.212, 84.112, 85.871, 89.696, 91.204, 88.72, 88.997, 90.087, 86.497, 83.266, 82.079, 82.899, 83.929]; || ;0.07738274718346537;0.8991596638655462;0.9700272479564033;11.619639992022313;11.0;6.764044943820225;162;22;0.006172839506172839;2.8767917140514903;58.713615023474176;64.71361502347418
[86.266, 90.547, 91.041, 88.04, 86.13, 86.864, 86.619, 85.743, 86.775, 89.653, 91.559, 91.124, 89.478, 89.478, 86.028, 83.547, 83.203, 85.913, 91.593, 94.076, 93.135, 95.107, 97.401, 96.276, 94.066]; || ;0.016529152161399083;0.8;0.872;48.39933665008292;11.0;3.541284403669725;36;10;0.027777777777777776;2.3933121229745242;43.0;44.9
[94.505, 93.407, 90.48, 85.572, 85.927, 89.453, 88.822, 86.369, 86.519, 88.548, 92.477, 95.434, 94.327, 95.923, 97.816, 96.142, 95.28, 92.972, 85.836, 82.1, 83.972, 84.677, 84.618, 82.397, 78.064]; || ;0.018557605328801293;0.8636363636363636;0.9020979020979021;46.53813616221297;11.368421052631579;3.612403100775194;49;11;0.02040816326530612;2.3786201994102125;35.666666666666664;38.166666666666664
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
